Name,Descricao__c,Endereco__c,Ativo__c,IdExterno__c
CASA Pompeia,"A Experiência do Acolhimento oferecido pelas equipes e sabores da CASA Pompeia provoca olhares curiosos e resulta em sorrisos espontâneos. Com arquitetura rica em detalhes, Infraestrutura completa para receber Eventos, Serviços de Alta Qualidade e com a beleza natural de seu Jardim Gourmet, esse novo espaço surpreende seus convidados do início ao fim da visita.","Av. Pompéia, 681
Pompéia
05023-000 - São Paulo",true,2
Casa Melhoramentos,"A Cia. Melhoramentos apresenta oficialmente a Casa Melhoramentos. O local é o mais novo espaço cultural na região oeste de São Paulo e conta com áreas de convivência, salas destinadas à coworking, auditório para até 80 pessoas e dois amplos espaços de aproximadamente 800m² cada, disponíveis no térreo e no terceiro andar do prédio, designados à realização de eventos variados.","Rua Tito, 479
Vila Romana
05045-050 - São Paulo",true,3
Expo Center Norte,"Com 98.000 m² de infraestrutura e padrão internacional de qualidade, o Expo Center Norte possui uma infraestrutura impecável com o que há de mais moderno para todos os tipos de eventos, em uma localização privilegiada.","Rua José Bernardo Pinto, 333
Vila Guilherme
02055-000 - São Paulo",true,4
Cervejaria Nacional,"A Cervejaria Nacional conta com 500m² divididos em 3 andares: fábrica, bar e restaurante no coração do bairro de Pinheiros. Oferece cervejas premiadas, direto das torneiras na sua mesa e um menu exclusivo, com entradas, pratos e sobremesas feitos a partir e/ou harmonizando com as cervejas.","Av. Pedroso de Morais, 604
Pinheiros
05419-000 - São Paulo",true,5
Espaço Jardim Leopoldina,O Jardim Leopoldina oferece um ótimo custo benefício e também uma localização privilegiada. O espaço é ideal para eventos de 100 a 700 pessoas,"Av. Mofarrej, 707
Vila Leopoldina
02675-031 - São Paulo",true,6
Teatro Liberdade,"O Teatro Liberdade está preparados para receber seu evento no âmbito de palestras, reuniões, seminários, desfiles e todo o tipo de evento corporativo.","Rua São Joaquim, 129
Liberdade
01508-001 - São Paulo",true,7
Teatro Prevent Senior,O Teatro Prevent Senior está localizado em Pinheiros e possui uma sala de espetáculo com capacidade de 600 lugares e uma sala multiuso com capacidade de 400 lugares.,"Rua Coropé, 88
Pinheiros
05426-010 - São Paulo",true,8
"Teatro Shopping Frei Caneca
","Inaugurado em junho de 2005, um dos destaques do Teatro Frei Caneca localizado no Shopping Frei Caneca, é seu projeto de acústica e sônica, assinado por José Augusto Nepomuceno, consultor de acústica de empreendimentos consagrados no Brasil e no exterior.

","R. Frei Caneca, 569
Consolação
01307-001 - São Paulo",true,9
ARCA,"Uma plataforma multifuncional criada para atrair, acolher e promover os eventos e filmagens mais inovadores e de maior relevância no mundo, com uma área total de 9.000 m² e capacidade para até 7.000 pessoas.","Avenida Manuel Bandeira, 360
Vila Leopoldina
05317-020 - São Paulo",true,10
Casa Quena,"São 350 m² distribuídos em três andares com infraestrutura para eventos corporativos; celebrações de mini-casamentos, aniversários, lançamentos, exposições, cursos, oficinas e outros.","Rua Treze de Maio, 724
Bela Vista
01327-000 - São Paulo",true,11
"Espaço VM
","Inaugurado em Agosto de 2015, o Espaço VM, disponibiliza ampla área para realização de festas e eventos sociais (aniversários, casamentos, etc.), quanto corporativos (palestras, confraternizações de empresas, treinamentos, integrações) e todos os outros tipos de acontecimentos.

","Rua Ovídio Lopes, 253
Ermelino Matarazzo
03804 -110 - São Paulo",true,12
"Teatro Folha
","O Teatro Folha tem toda a estrutura necessária para fazer do seu evento, um grande sucesso. Um espaço moderno e intimista com 305 lugares, que conta com a vantagem e segurança de estar localizado em um dos shoppings mais charmosos de São Paulo.","Shopping Pátio Higienópolis - Av. Higienópolis, 618
Consolação
01238-000 - São Paulo",false,13
"Allianz Parque
","O Allianz Parque é a arena multiuso mais moderna da América Latina, capaz de receber eventos de diversos tipos e tamanhos, com facilidades para a montagem e desmontagem de palcos e excelente isolamento termoacústico, além de todo o trabalho de consultoria e orientação feito por nossa equipe, acostumada à produção de eventos.","Av. Francisco Matarazzo, 1705
Água Branca
05001-200 - São Paulo",true,14